QUEST_LV_0500_20190509_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20220210_001420	저 길을 쓸 수 있다면 아군에게 큰 이점이 될 거야.	파야우타
QUEST_LV_0500_20220210_001421	좋아 움직이자.	파야우타
QUEST_LV_0500_20220210_001422	저 길을 확보하면 델무어 외성과 렘파라사 연못이 이어진 길을 사용할 수 있어.	파야우타
QUEST_LV_0500_20220210_001423	성공이야 이제 여긴 병사들에게 맡기자.	파야우타
QUEST_LV_0500_20220210_001424	주변의 족적들을 보니 적들이 이 거점에서 무리 지어 떠나간 지 얼마 되지 않았어.	파야우타
QUEST_LV_0500_20220210_001425	서두르면 따라잡을 수 있을 거야.	파야우타
QUEST_LV_0500_20220210_001426	족적이 외성 광장을 향해 이어져 있어.{nl}어서 가자.	파야우타
QUEST_LV_0500_20220210_001427	델무어 외성의 방어 계획이야.	파야우타
QUEST_LV_0500_20220210_001428	이거라면 녀석들의 중요 거점을 찾을 수 있어.	파야우타
QUEST_LV_0500_20220210_001429	계획도에 따르면 성채 마루에 녀석들의 상부 거점이 있어.{nl}규모를 보니 나머지 방어 계획과 작전 계획서도 여기 있을 거야.	파야우타
QUEST_LV_0500_20220210_001430	성채 마루에 있는 시설도 파괴하자.	파야우타
QUEST_LV_0500_20220210_001431	좋아 목표가 머지않은 거 같아.	파야우타
QUEST_LV_0500_20220210_001432	목표가 머지않았어.{nl}성채 마루에 있는 거점 시설도 파괴하자.	파야우타
QUEST_LV_0500_20220210_001433	거점이 사라졌으니 녀석들이 꽤 곤란할 거야.	파야우타
QUEST_LV_0500_20220210_001434	저 계단을 올라가면 녀석들의 상부 거점이야.	파야우타
QUEST_LV_0500_20220210_001435	녀석들에게서 델무어 내성과 델무어 정원의 방어 계획, 작전 계획서를 빼앗는다면 아군에게 큰 도움이 될 거야.	파야우타
QUEST_LV_0500_20220210_001436	좋아.{nl}역시 너는 믿음직한 친구구나.	파야우타
QUEST_LV_0500_20220210_001437	방금 내게 무슨 일이 일어난 거지..?	파야우타
QUEST_LV_0500_20220210_001438	괜찮다면 방금 있었던 일은 비밀로 해줘.	파야우타
QUEST_LV_0500_20220210_001439	왕국군의 병사들이 내게 걸고 있는 기대가 클 거야.{nl}죗값은 나중에 치러야 겠지만..{nl}지금은 일단 이 전쟁에서 이기는 게 우선이야.	파야우타
QUEST_LV_0500_20220210_001440	윗길을 따라가면 라민 대장군이 이끄는 본대가 거점으로 삼은 곳이 있어.{nl}그곳으로 가자.	파야우타
QUEST_LV_0500_20220210_001441	서둘러 적들의 방어 계획과 작전 계획서를 왕국군에게 넘겨줘야 해.	파야우타
QUEST_LV_0500_20220210_001442	라민	
QUEST_LV_0500_20220210_001443	파야우타로군.{nl}지시한 문서들은 가져왔겠지?	라민
QUEST_LV_0500_20220210_001444	왕국군의 대장군인 라민은 전장에서만큼은 규율에 철저한 사람이야.{nl}유능한 전사이고 많은 병사가 존경하는 영웅과도 같아.	파야우타
QUEST_LV_0500_20220210_001445	네가 파야우타가 이야기한 계시자군.{nl}난 왕국의 대장군인 라민이라고 한다.	라민
QUEST_LV_0500_20220210_001446	이곳은 전장이고 네가 왕국군을 돕는 사람이라면, 이곳의 책임자인 나의 부하라는 건 알아두도록.	라민
QUEST_LV_0500_20220210_001447	가져온 방어 계획과 작전 계획서를 곧이곧대로 믿을 수는 없다.{nl}병사에게 시켜 사실 여부를 판단하겠다.{nl}파야우타는 이 일을 돕도록.	라민
QUEST_LV_0500_20220210_001448	계시자 네게는 다른 임무를 주겠다.{nl}한참 전에 적들의 동향을 살피러 정찰병을 내보냈으나 아직 돌아오지 않았다.	라민
QUEST_LV_0500_20220210_001449	중요한 정보를 획득했을 수도 있으니 그 병사를 찾아 데려오도록.	라민
QUEST_LV_0500_20220210_001450	만약 전사했다면 병사의 소지품이라도 가지고 와라.	라민
QUEST_LV_0500_20220210_001451	움직이도록.	라민
QUEST_LV_0500_20220210_001452	적들에게 차단된 보급로를 따라가면 찾을 수 있을 거다.	라민
QUEST_LV_0500_20220210_001453	조심히 다녀와.	파야우타
QUEST_LV_0500_20220210_001454	다행히 늦지 않았군.{nl}수고했다.	라민
QUEST_LV_0500_20220210_001455	아무래도 정찰병이 무언가를 알아낸 거 같다.{nl}자네도 함께 듣도록.	라민
QUEST_LV_0500_20220210_001456	구출된 정찰병	
QUEST_LV_0500_20220210_001457	보고드립니다!	구출된 정찰병
QUEST_LV_0500_20220210_001458	이곳을 떠돌고 있는 기이한 까마귀인 일명 {#003399}그레스미{/}들은 앞선 소작촌과 장원을 지키던 페릿들과 같은 존재들입니다.	구출된 정찰병
QUEST_LV_0500_20220210_001459	페릿들을 {#003399}그레스미{/}로 변형시키는 강력한 마족을 확인했습니다.	구출된 정찰병
QUEST_LV_0500_20220210_001460	그 강력한 마족이 이 지역의 우두머리임이 확실하다.	라민
QUEST_LV_0500_20220210_001461	우리 군은 아직 재정비가 필요하다.{nl}마침 파야우타와 계시자가 있으니 최소한의 인원으로 해결을 해보는 게 좋겠군.	라민
QUEST_LV_0500_20220210_001462	파야우타, 계시자.{nl}너희는 나와 함께 별동대를 꾸려 그 마족을 찾아낸다.	라민
QUEST_LV_0500_20220210_001463	계시자.{nl}별동대를 꾸리는 동안 아군 거점을 포위하고 있는 마족들을 처리하도록.	라민
QUEST_LV_0500_20220210_001464	별동대를 꾸리는 동안 아군 거점을 포위한 마족들을 처리해라.	라민
QUEST_LV_0500_20220210_001465	수고했다.{nl}별동대가 안전히 출발할 수 있을 거다.	라민
QUEST_LV_0500_20220210_001466	준비는 거의 끝났다.{nl}중심지로 이동한 뒤 나뉘어 우두머리를 찾도록 한다.	라민
QUEST_LV_0500_20220210_001467	계시자가 앞장서도록.	라민
QUEST_LV_0500_20220210_001468	별동대를 이끌고 따라가겠다.	라민
QUEST_LV_0500_20220210_001469	확실히 효과가 있었군.	라민
QUEST_LV_0500_20220210_001470	이제 싸울 수 있는 병사들을 모두 이끌고 안쪽으로 진입한다.	라민
QUEST_LV_0500_20220210_001471	흩어진 병사들을 규합해야 합니다.{nl}본대를 증원할 때 막강한 전력이 될 수 있습니다.	센츄리온 마스터
QUEST_LV_0500_20220210_001472	이 곳을 배회하고 있는 적들의 모습을 보았나?{nl}오르샤에 소속되었던 병사이거나, 시민 혹은 상인들이 었다.{nl}신수의 날 이후 델무어로 피신한 피난민들도 다수 있었겠지.	라민
QUEST_LV_0500_20220210_001473	그러나 저들이 우리 왕국군의 길을 막고 있으니 적이라는 사실은 명확하다.{nl}다만 병사들의 눈빛에 망설임이 만연하군.	라민
QUEST_LV_0500_20220210_001474	이대로 전투가 시작되면 제대로 싸워보지도 못하고 전멸당할 거다.{nl}병사들을 독려할 필요가 있다.	라민
QUEST_LV_0500_20220210_001475	아군의 전투를 준비하기 위해 변질된 병사들이 버려둔 보급품을 확보하고 재정비해라.	라민
QUEST_LV_0500_20220210_001476	좋다.{nl}서둘러 움직이도록.	라민
QUEST_LV_0500_20220210_001477	변질된 병사들이 버려둔 보급품을 확보해라.	라민
QUEST_LV_0500_20220210_001478	준비가 끝났나?{nl}이건 오르샤의 깃발이군.{nl}	라민
QUEST_LV_0500_20220210_001479	시간을 더 지체할 수는 없다.{nl}자네도 준비가 끝났나?	라민
QUEST_LV_0500_20220210_001480	좋다.	라민
QUEST_LV_0500_20220210_001481	자리로 가서 준비해라.{nl}왕국군의 깃발과 함께 오르샤의 깃발을 함께 세워라.{nl}적당한 복수심을 심어준다면 전투에 있어서도 큰 효과를 가져올 거다.	라민
QUEST_LV_0500_20220210_001482	잘 싸워주었다.{nl}델무어 외부에는 간간히 적대적인 무리들이 발견되긴 하지만, 왕국군에 큰 위협이 될 정도는 아니다.	라민
QUEST_LV_0500_20220210_001483	센츄리온 마스터에게는 후방 경계와 잔당 처리를 맡겼다.	라민
QUEST_LV_0500_20220210_001484	소식을 들었습니다.{nl}저는 대장군의 명령에 따라 후방 지역의 잔당을 소탕하겠습니다.	센츄리온 마스터
QUEST_LV_0500_20220210_001485	당신의 활약에 대해 왕국군은 높이 사고 있습니다.	센츄리온 마스터
QUEST_LV_0500_20220210_001486	아직 전쟁이 끝난 건 아니다.{nl}싸울 수 있는 동료들을 모아라.	라민
QUEST_LV_0500_20220210_001487	자리로 이동해라.{nl}뭉그적거릴 여유는 없다.	라민
QUEST_LV_0500_20220210_001488	잠깐, 병사들의 비명 소리가 들린다.{nl}계시자 너도 들었나?	라민
QUEST_LV_0500_20220210_001489	오르샤의 공성장비가 도착했다.{nl}공성장비를 바리케이드 너머로 옮기는 데에만 많은 왕국군이 희생을 치렀다.	라민
QUEST_LV_0500_20220210_001490	여신의 계시를 받은 계시자들은 인간의 한계를 넘어선 힘을 발휘한다고 하지.{nl}지난 전투에서 너와 함께 싸운 병사들 사이에서 네 이야기가 들리더군.	라민
QUEST_LV_0500_20220210_001491	그들에게 너는 영웅이 되었다.{nl}친구이자 전우를 잃고 전장에 고립된 상황에서도 병사들이 포기하지 않은 건{nl}네가 병사들과 함께 싸워주고 있기 때문이었다.	라민
QUEST_LV_0500_20220210_001492	병사들이 목숨을 걸고 너의 전투를 돕기위해 공성장비를 전장에 들여 놓는 데는 성공했다.{nl}이제 네 차례다.	라민
QUEST_LV_0500_20220210_001493	가서 {#003399}성문{/}을 열어라.	라민
QUEST_LV_0500_20220210_001494	{#003399}격전지{/}로 진입한다.	라민
QUEST_LV_0500_20220210_001495	{#003399}격전지{/}로 진입하도록.	라민
QUEST_LV_0500_20220210_001496	덕분에 델무어 내부로 가는 길이 열렸군.{nl}이 공로는 카오닐라 공주님께서 크게 치하하실 거다.	라민
QUEST_LV_0500_20220210_001497	물론, 나 역시 네 공로를 인정하고 있다.{nl}잘 싸워주었다.	라민
QUEST_LV_0500_20220210_001498	내부로 들어갈 준비가 끝나면 다시 너를 찾겠다.	라민
QUEST_LV_0500_20220210_001499	      {img GuideQuest_StartLine3_MiniMap_2 300 240}{nl}조잡해 보이는 해도는 오르샤와 왕국령 모로스 공관이 얼마나 멀리 떨어져 있는지 가늠하게 한다.	PC
QUEST_LV_0500_20220210_001500	모로스의 계시자(1)	
QUEST_LV_0500_20220210_001501	왕국령 모로스 공관으로 진입하세요	
QUEST_LV_0500_20220210_001502	[튜토리얼] 대화와 상호작용	
QUEST_LV_0500_20220210_001503	문제가 있는 것 같습니다.{nl}검사를 기다리고 있는 피난민들과 대화해봅시다.	
QUEST_LV_0500_20220210_001504	소녀의 환영과 대화해봅시다.	
QUEST_LV_0500_20220210_001505	[튜토리얼] 성장 장비 착용	
QUEST_LV_0500_20220210_001506	모로스의 계시자(2)	
QUEST_LV_0500_20220210_001507	모로스의 계시자(3)	
QUEST_LV_0500_20220210_001508	소녀의 환영이 당신을 찾고 있습니다.	
QUEST_LV_0500_20220210_001509	[튜토리얼] 첫 번째 전직	
QUEST_LV_0500_20220210_001510	전직해 보겠다고 한다	
QUEST_LV_0500_20220210_001511	모로스의 계시자(4)	
QUEST_LV_0500_20220210_001512	무책임하다고 한다	
QUEST_LV_0500_20220210_001513	모로스의 계시자(5)	
QUEST_LV_0500_20220210_001514	오위니아 딜벤을 찾아가겠다고 한다	
QUEST_LV_0500_20220210_001515	이곳에 오래 머무를 생각이 없다고 한다	
QUEST_LV_0500_20220210_001516	모로스의 계시자(6)	
QUEST_LV_0500_20220210_001517	잠시 둘러보고 오겠다고 한다	
QUEST_LV_0500_20220210_001518	모로스의 계시자(7)	
QUEST_LV_0500_20220210_001519	걸어가겠다고 한다	
QUEST_LV_0500_20220210_001520	[튜토리얼] 퀘스트 아이템 사용	
QUEST_LV_0500_20220210_001521	수상해서 하기 싫다고 한다	
QUEST_LV_0500_20220210_001522	모로스의 계시자(8)	
QUEST_LV_0500_20220210_001523	문제를 일으키고 싶지 안핟고 한다	
QUEST_LV_0500_20220210_001524	모로스의 계시자(9)	
QUEST_LV_0500_20220210_001525	[튜토리얼] 보스 몬스터와의 전투	
QUEST_LV_0500_20220210_001526	알아내겠다고 한다	
QUEST_LV_0500_20220210_001527	혼자선 위험하다고 한다	
QUEST_LV_0500_20220210_001528	모로스의 계시자(10)	
QUEST_LV_0500_20220210_001529	모로스의 계시자(11)	
QUEST_LV_0500_20220210_001530	어쩔 수 없이 따른다	
QUEST_LV_0500_20220210_001531	모로스의 계시자(12)	
QUEST_LV_0500_20220210_001532	흥분하지 말라고 한다	
QUEST_LV_0500_20220210_001533	모로스의 계시자(13)	
QUEST_LV_0500_20220210_001534	모로스의 계시자(14)	
QUEST_LV_0500_20220210_001535	떠날 준비가 되었다고 한다	
QUEST_LV_0500_20220210_001536	전장 속으로	
QUEST_LV_0500_20220210_001537	곧장 합류하겠다고 한다	
QUEST_LV_0500_20220210_001538	병력 재집결(1)	
QUEST_LV_0500_20220210_001539	돕기 어렵다고 한다	
QUEST_LV_0500_20220210_001540	병력 재집결(2)	
QUEST_LV_0500_20220210_001541	서둘러 가자고 한다	
QUEST_LV_0500_20220210_001542	병력 재집결(3)	
QUEST_LV_0500_20220210_001543	병력 재집결(4)	
QUEST_LV_0500_20220210_001544	이동 장치 확인	
QUEST_LV_0500_20220210_001545	번거롭다고 한다	
QUEST_LV_0500_20220210_001546	델무어 장원으로	
QUEST_LV_0500_20220210_001547	참전하겠다고 한다	
QUEST_LV_0500_20220210_001548	임시 거점	
QUEST_LV_0500_20220210_001549	델무어 장원으로 가자고 한다	
QUEST_LV_0500_20220210_001550	아직 할 일이 있다고 한다	
QUEST_LV_0500_20220210_001551	물자 모으기	
QUEST_LV_0500_20220210_001552	물자들을 찾아보겠다고 한다	
QUEST_LV_0500_20220210_001553	시답지 않은 일이라고 한다	
QUEST_LV_0500_20220210_001554	바리케이드 구축	
QUEST_LV_0500_20220210_001555	직접 설치해주겠다고 한다	
QUEST_LV_0500_20220210_001556	난전 해결 (1)	
QUEST_LV_0500_20220210_001557	병사들을 찾아보겠다고 한다	
QUEST_LV_0500_20220210_001558	난전 해결 (2)	
QUEST_LV_0500_20220210_001559	난전 해결 (3)	
QUEST_LV_0500_20220210_001560	적재 적소	
QUEST_LV_0500_20220210_001561	각자가 할 일	
QUEST_LV_0500_20220210_001562	그럼 델무어 외성으로 가는 길을 정리해두고 가겠다고 한다	
QUEST_LV_0500_20220210_001563	먼저 할 일이 있다고 한다	
QUEST_LV_0500_20220210_001564	먼저 온 동료	
QUEST_LV_0500_20220210_001565	마족의 방어 계획 (1)	
QUEST_LV_0500_20220210_001566	마족의 방어 계획 (2)	
QUEST_LV_0500_20220210_001567	거점을 찾는 데 동의한다	
QUEST_LV_0500_20220210_001568	마족의 방어 계획 (3)	
QUEST_LV_0500_20220210_001569	마족의 방어 계획 (4)	
QUEST_LV_0500_20220210_001570	어서 추적하자고 한다	
QUEST_LV_0500_20220210_001571	마족의 방어 계획 (5)	
QUEST_LV_0500_20220210_001572	마족의 방어 계획 (6)	
QUEST_LV_0500_20220210_001573	왕국군 구조	
QUEST_LV_0500_20220210_001574	라민 대장군	
QUEST_LV_0500_20220210_001575	조금 쉬는 게 좋겠다고 한다	
QUEST_LV_0500_20220210_001576	생존자 탐색	
QUEST_LV_0500_20220210_001577	명령을 따르겠다고 한다	
QUEST_LV_0500_20220210_001578	명령을 따르기 위해 준비가 필요하다고 한다	
QUEST_LV_0500_20220210_001579	포위 해제	
QUEST_LV_0500_20220210_001580	별동대	
QUEST_LV_0500_20220210_001581	그레스미의 정체	
QUEST_LV_0500_20220210_001582	흉조의 실체	
QUEST_LV_0500_20220210_001583	버려진 무기들	
QUEST_LV_0500_20220210_001584	총력전	
QUEST_LV_0500_20220210_001585	자리로 가겠다고 한다	
QUEST_LV_0500_20220210_001586	아직 준비가 끝나지 않았다고 한다	
QUEST_LV_0500_20220210_001587	좌측 전선(1)	
QUEST_LV_0500_20220210_001588	좌측 전선(2)	
QUEST_LV_0500_20220210_001589	중앙 진출	
QUEST_LV_0500_20220210_001590	우측 전선	
QUEST_LV_0500_20220210_001591	측면 돌파	
QUEST_LV_0500_20220210_001592	승전보	
QUEST_LV_0500_20220210_001593	인간의 관문	
QUEST_LV_0500_20220210_001594	들었다	
QUEST_LV_0500_20220210_001595	못 들었다	
QUEST_LV_0500_20220210_001596	델무어 격전지	
QUEST_LV_0500_20220210_001597	준비가 끝났다고 한다	
QUEST_LV_0500_20220210_001598	문턱을 넘는다	
QUEST_LV_0500_20220210_001599	모로스의 계시자	
QUEST_LV_0500_20220210_001600	왕국령 모로스 공관 진입	
QUEST_LV_0500_20220210_001601	꿈 속 소녀의 집요한 설득으로 당신은 결국 이 곳에 도착했습니다. 이것이 새로운 시작일까요? 아직 아무것도 알 수 없지만 이 곳 사람들에게 물어보면 실마리를 찾을 수 있을 것 같습니다. 공관 경비병에게 사정을 이야기하고 말이 통하는 사람을 찾아봅시다.	
QUEST_LV_0500_20220210_001602	피난민들과 대화하기	
QUEST_LV_0500_20220210_001603	아무래도 공관으로 들어가려면 시간이 걸릴 것 같습니다. 입구의 피난민들과 대화하며 최근 모로스에서 벌어진 일들을 알아봅시다.	
QUEST_LV_0500_20220210_001604	소녀의 환영과 대화하기	
QUEST_LV_0500_20220210_001605	오랜 기간 당신의 꿈 속에 나타나 계시의 꿈과 이 공관을 찾아가라고 말하던 소녀의 환영이 나타났습니다. 소녀의 환영과 대화해 봅시다.	
QUEST_LV_0500_20220210_001606	성장 장비 착용	
QUEST_LV_0500_20220210_001607	인벤토리를 열어 성장 장비를 선택하고 착용하세요	
QUEST_LV_0500_20220210_001608	소녀의 환영과 대화	
QUEST_LV_0500_20220210_001609	대장군 라민과 대화	
QUEST_LV_0500_20220210_001610	전직 1회 완료	
QUEST_LV_0500_20220210_001611	공관실 찾아가기	
QUEST_LV_0500_20220210_001612	카오닐라 헨류시와 대화	
QUEST_LV_0500_20220210_001613	오위니아 딜벤에게 되돌아 가기	
QUEST_LV_0500_20220210_001614	영혼 투사기 사용	
QUEST_LV_0500_20220210_001615	오위니아 딜벤에게 영혼 투사기 사용	
QUEST_LV_0500_20220210_001616	휴식 취하기	
QUEST_LV_0500_20220210_001617	숨어든 마족 간부 처치	
QUEST_LV_0500_20220210_001618	랑다 마스터 따라가기	
QUEST_LV_0500_20220210_001619	호위대장 헤오샤와 대화	
QUEST_LV_0500_20220210_001620	오르샤의 영주 이네사 해먼데일을 찾아가기	
QUEST_LV_0500_20220210_001621	오르샤의 영주가 급히 당신을 찾고 있습니다{nl}오르샤로 가 영주를 만나세요	
QUEST_LV_0500_20220210_001622	키르티마스 숲을 지나 델무어 소작촌으로 가기	
QUEST_LV_0500_20220210_001623	오르샤 영주의 말에 의하면, 키렌 지방을 침공한 주시자의 군세에 맞서기 위하여 왕국군이 주시자의 본거지인 델무어를 공격했다고 합니다{nl}파야우타는 일찍이 왕국군에 합류했으며 그녀는 당신 역시 왕국군에 가세해 주기를 바라고 있습니다{nl}델무어 소작촌으로 가는 방법은 렘파라사 연못과 키르티마스 숲을 통해 이어진 육로가 있으나, 전쟁의 여파로 렘파라사 연못과 이어진 통로는 차단된 상태입니다{nl}키르티마스 숲을 지나 델무어 소작촌으로 이동하세요{nl}	
QUEST_LV_0500_20220210_001624	센츄리온 마스터와 대화하기	
QUEST_LV_0500_20220210_001625	델무어 소작촌에 진입하자 교전 중이던 왕국군과 센츄리온 마스터를 만났습니다{nl}센츄리온 마스터는 당신을 알고 있는 눈치입니다{nl}센츄리온 마스터와 이야기하세요	
QUEST_LV_0500_20220210_001626	센츄리온 마스터는 파야우타로 부터 당신의 이야기를 들었다고 합니다{nl}그러나 사담은 다음을 기약하고 센츄리온 마스터와 합류할 수 있도록 그와 이야기하세요	
QUEST_LV_0500_20220210_001627	흩어진 병사들을 찾기	
QUEST_LV_0500_20220210_001628	센츄리온 마스터는 파야우타의 부탁으로 당신을 왕국군 본대에 무사히 합류시키기 위해 이곳을 지키던 중이었습니다{nl}그러나 적의 공세에 오래 버티지는 못했고 그를 따르던 병사들이 흩어져 곳곳에서 교전 중이라고 합니다{nl}전쟁에서 왕국군이 승리할 수 있도록 센츄리온 마스터를 도와 흩어진 병사들을 합류시켜야 합니다	
QUEST_LV_0500_20220210_001629	교전 중이던 병사들을 일부 찾았습니다{nl}다음 지역으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001630	병사들을 일부 찾았습니다{nl}다음 지역으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001631	열세 속에 숨어 있는 병사들을 찾아보기	
QUEST_LV_0500_20220210_001632	가까운 지역으로 이동해 적들을 몰아내고 병사들을 찾으세요	
QUEST_LV_0500_20220210_001633	숨어있던 병사들을 일부 찾았습니다{nl}다음 지역으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001634	센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001635	주변의 몬스터를 처치하고 무기로 쓸만한 것들을 획득하기	
QUEST_LV_0500_20220210_001636	앞으로 있을 전투에 대비하기 위해 병사들이 싸울 수 있는 여건이 되어야 합니다{nl}블릭페릿들로부터 무기를 탈취하세요	
QUEST_LV_0500_20220210_001637	충분히 많은 무기를 확보했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001638	센츄리온 마스터와 다음 목표에 대해 상의하세요	
QUEST_LV_0500_20220210_001639	블릭페릿 사이에서 연락책을 찾아 처치하기	
QUEST_LV_0500_20220210_001640	델무어 소작촌에 흩어진 병사들은 대부분 찾았습니다{nl}그러나 당신과 센츄리온 마스터의 움직임을 블릭페릿들도 감지했습니다{nl}적들의 집결 시간을 지연시키기 위해 연락책을 맡은 적들을 찾아 제거하세요	
QUEST_LV_0500_20220210_001641	연락책들을 찾아 충분히 제거했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001642	델무어 장원으로 가는 이동 장치 확인하기	
QUEST_LV_0500_20220210_001643	과거 델무어 소작촌과 델무어 외성을 잇던 승강기가 있습니다{nl}승강기를 사용할 수 있는 지 확인하기 위해 이쉰티 사거리에서 윗길을 따라가 승강기를 확인하세요	
QUEST_LV_0500_20220210_001644	거대한 크루비나 장벽이 승강기를 완전히 박살 냈습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001645	델무어 장원으로 이동할 방법을 모색하기 위해 센츄리온 마스터와 상의하세요	
QUEST_LV_0500_20220210_001646	델무어 장원 입구 지역을 확보하기	
QUEST_LV_0500_20220210_001647	델무어 장원으로 이어진 육로를 확보하는 게 유일한 방법입니다{nl}센츄리온 마스터와 그의 병사들과 함께 델무어 장원 진입지 근처를 공격해 입구를 확보하세요	
QUEST_LV_0500_20220210_001648	델무어 장원 진입지 근처를 성공적으로 확보했습니다{nl}델무어 장원 입구 근처의 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001649	델무어 장원으로 이동하기 전에 센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001650	델무어 장원에서 센츄리온 마스터와 합류하고 근처를 조사하기	
QUEST_LV_0500_20220210_001651	델무어 장원에서도 교전 중인 왕국군들이 있을 겁니다{nl}우선 델무어 장원에서 센츄리온 마스터와 합류하고 근처를 조사하세요	
QUEST_LV_0500_20220210_001652	델무어 장원에서 위기에 처해 죽을 뻔한 왕국군을 구했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001653	센츄리온 마스터는 전황이 안좋다는 우려를 표했습니다{nl}그러나 이런 상황에서 할 수 있는 일을 찾아야만 합니다{nl}센츄리온 마스터와 상의하세요	
QUEST_LV_0500_20220210_001654	임시 거점을 보강할 물자를 모으기	
QUEST_LV_0500_20220210_001655	센츄리온 마스터는 공황을 겪고 있거나 다친 병사들이 잠시나마 안전한 휴식을 취할 수 있는 장소가 필요하다고 합니다{nl}현재 이곳은 전쟁터이고 주변에는 부서진 자재들이 많습니다{nl}간단한 바리케이드를 만들 수 있는 물자를 모을 수 있습니다	
QUEST_LV_0500_20220210_001656	센츄리온 마스터에게 물자를 가져다주기	
QUEST_LV_0500_20220210_001657	부족하지 않을 만큼 부서진 자재를 확보했으며{nl}근처에서 버려진 텐트의 일부를 잘라내 쓸만한 텐트 자재도 모았습니다{nl}센츄리온 마스터에게 모은 물자들을 가져가세요	
QUEST_LV_0500_20220210_001658	당신이 모아온 물자 덕분에 부상병들을 눕게 할 임시 텐트도 마련했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001659	거점에 바리게이트 설치하기	
QUEST_LV_0500_20220210_001660	임시 거점을 방어할 수 있도록 지정된 곳에 바리케이드를 설치하세요	
QUEST_LV_0500_20220210_001661	센츄리온 마스터에게 결과를 보고하기	
QUEST_LV_0500_20220210_001662	바리케이드를 충분히 설치했습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001663	성벽 재건 구역에서 전투 중인 병사들을 돕고 병사들을 거점으로 안내하기	
QUEST_LV_0500_20220210_001664	성벽 재건 구역에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220210_001665	칼보스 공터에서 전투 중인 병사들을 돕고 병사들을 거점으로 안내하기	
QUEST_LV_0500_20220210_001666	칼보스 공터에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220210_001667	라타스 사거리에서 전투 중인 병사들을 돕고 병사들을 거점으로 안내하기	
QUEST_LV_0500_20220210_001668	라타스 사거리에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220210_001669	공방 거리로 이동하기	
QUEST_LV_0500_20220210_001670	공방 거리에서 교전 중인 왕국군들을 찾아 그들과 교전 중인 적들을 몰아내고, 왕국군들이 임시 거점으로 후퇴하도록 명령하세요	
QUEST_LV_0500_20220210_001671	아군 거점을 공격하는 적들을 저지하기	
QUEST_LV_0500_20220210_001672	적들이 왕국군의 임시 거점을 공격하기 위해 집결했습니다{nl}공격해오는 적들을 막으세요	
QUEST_LV_0500_20220210_001673	다행히 당신이 늦지 않은 덕에 임시 거점을 지켜낼 수 있었습니다{nl}센츄리온 마스터와 대화하세요	
QUEST_LV_0500_20220210_001674	델무어 외성 진입로를 확보하고 델무어 외성으로 이동하기	
QUEST_LV_0500_20220210_001675	센츄리온 마스터는 아직 흩어져 있는 병사들을 규합하기 위해 이곳 임시 거점에 남겠다고 합니다{nl}추후 그가 재정비를 마치면 본대에 합류할 계획입니다{nl}그때를 위해 델무어 외성으로 이어지는 통로를 지키는 적들을 몰아내세요	
QUEST_LV_0500_20220210_001676	델무어 외성으로 이동하기	
QUEST_LV_0500_20220210_001677	델무어 외성으로 이동하세요	
QUEST_LV_0500_20220210_001678	델무어 외성에서 파야우타를 만났습니다{nl}파야우타와 이야기를 나누세요	
QUEST_LV_0500_20220210_001679	파야우타가 이곳에서 무엇을 하고 있었는 들어보세요	
QUEST_LV_0500_20220210_001680	목표 지점의 적들을 소탕하고 소지품을 탈취하기	
QUEST_LV_0500_20220210_001681	파야우타는 왕국군의 지휘관인 대장군의 명령으로 적들의 거점을 찾고 있었습니다{nl}적의 거점에서 적들이 가지고 있을 거라 추정되는 방어 계획서들과 작전 문서를 찾기 위해 파야우타와 함께 움직이세요{nl}데가름 진입로에 집결 중인 적들을 공격하세요	
QUEST_LV_0500_20220210_001682	델무어 소작촌과 델무어 장원의 방어 계획도를 획득했습니다{nl}파야우타와 대화하세요	
